"claim_id","category","claim","required_evidence","boundary","eligibility"
"CL-01","ALLOWED","The standard weighted multicategory Loevinger H is a covariance-to-fixed-margin-maximum-covariance ratio, aggregated as a quotient of sums.","Molenaar (1991), pp. 104-116","Use for finite ordered scores and positive denominators; do not imply inferential calibration.","ELIGIBLE"
"CL-02","ALLOWED","The common-quantile coupling supplies the maximum pair covariance for v4 finite ordinal margins.","Rüschendorf (1982), p. 624, eq. (2), n=2 squared-sum specialization; Molenaar (1991), Theorem 2","Describe as an established result and derived specialization, not a new transport theorem.","ELIGIBLE"
"CL-03","ALLOWED","Weighted Mokken software predates v4.","Andreadis (2017), DOI 10.5281/zenodo.557086","Give explicit predecessor credit.","REQUIRED_CREDIT"
"CL-04","ALLOWED","v4 implements arbitrary empirical-mass transport and cluster-aware hierarchical random-weight inference for fixed polytomous scales.","v4 source; Phase 14-17 evidence chain","No first-ever or universal-superiority wording.","ELIGIBLE"
"CL-05","ALLOWED","Within the frozen Phase 16 design, the locked hierarchical method met all protocol gates.","Phase 16 fresh-confirmation receipt","Restrict to the tested finite design and method lock.","ELIGIBLE_RESTRICTED"
"CL-06","ALLOWED","In the frozen SWMDK application, cluster-aware uncertainty was empirically relevant for the prespecified scales and targets.","Phase 17 closure and key metrics","Descriptive application evidence; no population threshold decision.","ELIGIBLE_RESTRICTED"
"CL-07","ALLOWED","Respondent-weighted and equal-cluster targets are distinct estimands under informative cluster size.","v4 estimand contract and Phase 14-17 evidence","Always label target and hierarchical weight law.","ELIGIBLE_RESTRICTED"
"CL-08","DIAGNOSTIC_ONLY","Exact or near cumulative knots identify possible nonsmooth transport-path behavior.","v4 knot diagnostics and frozen contracts","Do not present as regular first-order inference or a failure of the H value itself.","DIAGNOSTIC_ONLY"
"CL-09","FORBIDDEN","v4 is the first weighted Mokken implementation.","Andreadis (2017) predecessor","Directly contradicted by the archived predecessor.","FORBIDDEN"
"CL-10","FORBIDDEN","v4 proves a new comonotone transport theorem.","Rüschendorf (1982) and earlier lineage cited there","The project implements and specializes an established result.","FORBIDDEN"
"CL-11","FORBIDDEN","The selected hierarchical method is universally superior to all comparators.","Phase 15-17 bounded designs","Evidence is design- and comparator-specific.","FORBIDDEN"
"CL-12","FORBIDDEN","The empirical H values establish a formal scale-quality threshold decision.","Frozen Phase 17 protocol","Threshold decisions were excluded.","FORBIDDEN"
"CL-13","FORBIDDEN","Exact-knot cases have ordinary regular inference without qualification.","Frozen regularity contract","Exact knots remain diagnostic-only.","FORBIDDEN"
"CL-14","FORBIDDEN","Rüschendorf (1982) establishes cluster sampling or Bayesian calibration.","Rüschendorf source scope","The source concerns fixed-margin extremal dependence, not v4 inference.","FORBIDDEN"
